"Smerinthinae
","Betu
",2156.76
"Smerinthinae
","Betu
",729.51
"Smerinthinae
","Betu
",2116
"Smerinthinae
",Fab,104.87
"Smerinthinae
",Fab,1453
"Smerinthinae
",Fab,2013
"Smerinthinae
",Fab,729.51
"Smerinthinae
",Elae,104.87
"Smerinthinae
",Eri,2156.76
"Smerinthinae
",Ole,101.62
"Smerinthinae
",Eup,2013
"Smerinthinae
",Mal,1339
Macroglossinae,Verb,2330
Macroglossinae,Fab,729.51
Macroglossinae,Fab,2156.76
Macroglossinae,Fab,2022
Macroglossinae,Fab,1339
Macroglossinae,Fab,2116
Macroglossinae,Fab,2330
Macroglossinae, Betu,729.51
Macroglossinae, Betu,1773.93
Macroglossinae, Betu,1742.23
Macroglossinae, Betu,2156.76
Macroglossinae, Betu,101.62
Macroglossinae, Betu,2022
Macroglossinae, Betu,2545
Macroglossinae,Bals,1773.93
Macroglossinae,Bals,104.87
Macroglossinae,Bals,1453
Macroglossinae, Ast,1773.93
Macroglossinae,Ole,1773.93
Macroglossinae,Ole,2022
Macroglossinae,Sal,1773.93
Macroglossinae,Ara,2156.76
Macroglossinae,Ara,1453
Macroglossinae,Acan,2545
Macroglossinae,Acan,794
Macroglossinae,Eri,2044
Macroglossinae,Eri,2330
Macroglossinae,Eri,1339
Macroglossinae,Eri,2022
Macroglossinae,Ros,794
Macroglossinae,Ros,2013
Macroglossinae,Ros,1339
Macroglossinae,Brass,2022
Macroglossinae,Poa,2013
Sphinginae,Poa,1773.93
Sphinginae,Poa,2022
Sphinginae,Poa,2013
Sphinginae,Fab,1773.93
Sphinginae,Fab,101.62
Sphinginae,Fab,2330
Sphinginae,Eri,2330
Sphinginae,Poa,1773.93
Sphinginae,Poa,2022
Sphinginae,Betu,1742.23
